Date,Underemployment_Rate
1/01/2018,6
1/02/2018,6
1/03/2018,5.9
1/04/2018,5.6
1/05/2018,5.3
1/06/2018,5.2
1/07/2018,5.2
1/08/2018,5.3
1/09/2018,4.9
1/10/2018,4.8
1/11/2018,4.7
1/12/2018,4.8
1/01/2019,5.5
1/02/2019,5.4
1/03/2019,5.4
1/04/2019,5.3
1/05/2019,5.1
1/06/2019,5.1
1/07/2019,5.2
1/08/2019,5.3
1/09/2019,5.1
1/10/2019,5
1/11/2019,4.8
1/12/2019,4.8
